,User,Partition,Type,Affiliation,Description,Followers
153,iamqueenlatifah,1,c,,"music, actress ",7 210 828
154,johncena,1,c,,"athlete, actor, music",8 756 823
155,entrepreneur,2,m,,"news, business",2 640 174
156,nbaontnt,1,m,,sports,1 693 067
157,gameinformer,2,m,,"news, games",1 860 001
158,lindsaylohan,1,c,,actress,9 312 088
159,tyrabanks,0,c,,"model, tv, business",13 515 832
160,politico,2,m,,"news, politics",2 075 384
161,uninoticias,2,m,,news,1 467 289
162,mindykaling,1,c,,"actress, comedian",7 955 002
163,50cent,1,c,,music,8 723 410
164,kourtneykardash,3,c,,reality tv,21 163 315
165,nytimesarts,2,m,,"news, entertainment",2 256 794
166,dwstweets,2,p,Democrat,"Representative for Florida, former DNC chair", 356 761 
167,brunomars,1,c,,music,26 460 279
168,iggyazalea,1,c,,music,7 117 671
169,conanobrien,0,c,,tv host,21 989 171
170,gadgetlab,2,m,,"news, tech",1 940 731
171,andersoncooper,2,c,,tv host,8 649 168
172,sentedcruz,2,p,Republican,"Senator from Texas, Presidential Candidate", 803 738 
173,britneyspears,1,c,,music,47 938 333
174,enews,1,m,,"news, entertainment",10 328 085
175,bbcbusiness,2,m,,"news, business",1 813 451
176,npr,2,m,,news,6 245 878
177,tyga,1,c,,music,7065252
178,realbencarson,2,p,Republican,Presidential Candidate, 2 168 028 
179,billdeblasio,2,p,Democrat,Mayor of New York, 655 619 
180,actuallynph,1,c,,actor,25 593 162
181,timkaine,0,p,Democrat,"Senator for Virginia, VP candidate", 356 874 
182,washingtonpost,2,m,,news,7 589 534
183,cosmopolitan,3,m,,life,1 514 205
184,khloekardashian,3,c,,reality tv,22 208 174
185,esquirenetwork,0,m,,life,1 586 466
186,wiredscience,2,m,,"news, science",1 955 397
187,nbatv,1,m,,sports,2 707 785
188,jessicaalba,1,c,,"actress, model, business",9 371 980
189,jebbush,0,p,Republican,"Governor of Florida, presidential candidate", 762 211 
190,womenshealthmag,3,m,,life,4 232 499
191,karlrove,0,p,Republican,"political consultant, policy advisor; deputy chief of staff under George W Bush", 654 349 
192,robertdowneyjr,1,c,,actor,7 554 969
193,johnemichel,0,p,,"Commanding General, NATO Air Training Command-Afghanistan", 526 296 
194,realdonaldtrump,2,p,Republican,Presidential Candidate, 12 227 110 
195,governorperry,2,p,"Republican, Democrat before 1989","Governor of Texas, presidential candidate", 344 251 
196,voterocky2016,0,p,Democrat,Presidential candidate, 233 194 
197,billgates,2,c,,business,31 208 894
198,sarahpalinusa,2,p,Republican,"Former governor of Alaska, VP Candidate", 1 290 672 
199,joetrippi,2,p,Democrat,Campaign worker/consultant; Fox News contributor, 960 136 
200,ew,1,m,,"news, entertainment",5 752 537
201,foodandwine,2,m,,life,4 970 351
202,sarahksilverman,0,c,,"actress, comedy",8 898 502
203,buzzfeed,0,m,,"news, entertainment",3 955 754
204,fortunemagazine,2,m,,"news, business",2 144 137
205,evalongoria,0,c,,actress,7 420 901
206,xtina,1,c,,music,16 138 736
207,azizansari,2,c,,actor,10 829 752
208,camerondallas,1,c,,"Vine, actor, music",9 083 089
209,iamwill,0,c,,music,13 622 394
210,pharrell,1,c,,music,9 349 444
211,bw,2,m,,"news, business",1 393 318
212,serenawilliams,3,c,,athlete,7 097 604
213,newtgingrich,2,p,Republican,"Former House Speaker, Representative from Georgia, Presidential Candidate", 1 673 001 
214,govgaryjohnson,0,p,Republican,"Former governor of new mexico, presidential candidate", 368 064 
215,cntraveler,2,m,,life,1 468 814
216,bet,1,m,,"news, entertainment",1 905 469
217,history,2,m,,tv,1 550 893
218,senmikelee,2,p,Republican,Senator from Utah, 244 977 
219,therock,1,c,,actor,10 520 023
220,cnbc,2,m,,news,2 435 953
221,thedemocrats,0,p,Democrat,Group, 679 121 
222,johnkerry,2,p,Democrat,Secretary of State, 1 960 269 
223,govwalker,2,p,Republican,Governor of Wisconsin, 161 852 
224,darrellissa,2,p,Republican,Representative from California, 227 530 
225,sethmacfarlane,2,c,,actor,10 946 541
226,marcanthony,0,c,,music,8 905 101
227,michelebachmann,2,p,Republican,"Former Representative from Minnesota, presidential candidate", 262 590 
228,tmagazine,2,m,,life,2 103 141
229,dccc,0,p,Democrat,Campaign arm of democrats in the House, 194 212 
230,goodhealth,3,m,,life,3 197 433
231,travelchannel,1,m,,life,2 310 537
232,ap,2,m,,news,8 736 830
233,shawnmendes,1,c,,music,7 618 905
234,snoopdogg,1,c,,music,14 636 989
235,carmeloanthony,1,c,,athlete,8 370 386
236,lukebryanonline,1,c,,music,7 680 293
237,cnnmoney,2,m,,"news, business",1 651 999
238,rollingstone,1,m,,"news, entertainment",5 279 722
239,sai,2,m,,"news, tech",1 383 982
240,pryan,2,p,Republican,"House Speaker, Representative from Wisconsin", 751 219 
241,pink,0,c,,music,28 246 806
242,ashleytisdale,1,c,,actress,13 252 356
243,joejonas,1,c,,music,8 319 951
244,repjohnlewis,2,p,Democrat,Representative from Georgia, 199 634 
245,teenvogue,0,m,,"news, fashion",2 656 688
246,menshealthmag,1,m,,life,3 519 089
247,alfranken,0,p,Democrat,Senator from Minnesota, 266 209 
248,voguemagazine,3,m,,"news, fashion",11 792 438
249,johnkingated,2,p,Democrat,Secretary of Education, 262 504 
250,businessinsider,2,m,,"news, business",1 653 786
251,lindasuhler,2,p,Conservative ,"Twitter activist, retired molecular biologist", 253 116 
252,jtimberlake,1,c,,music,56 753 923
253,mittromney,2,p,Republican,"Former Governor of Massachusetts, Presidential Candidate", 1 804 714 
254,jimdemint,2,p,Republican,"President of the Heritage Foundation, former Senator from South Carolina, leading figure in Tea Party", 226 159 
255,comedycentral,1,m,,tv,1 461 235
256,massgovernor,2,p,Republican,Governor of Massachusetts, 173 613 
257,inc,2,m,,"news, business",1 893 522
258,bigsean,1,c,,music,9 244 680
259,tedcruz,2,p,Republican,"Senator from Texas, Presidential Candidate", 1 644 787 
260,bishopnoeljones,2,p,,Pastor, 191 493 
261,nytimes,2,m,,news,30 936 311
262,krisjenner,3,c,,reality tv,7 696 281
263,jasoninthehouse,2,p,Republican,"Representative from Utah, former Democrat", 149 903 
264,sciencechannel,1,m,,tv,2 053 438
265,kingjames,1,c,,athlete,33 244 051
266,espndeportes,2,m,,sports,1 831 155
267,madam_president,0,p,Democrat,, 137 994 
268,ladygaga,1,c,,music,63 997 129
269,parenting,0,m,,life,1 587 085
270,ambassadorrice,2,p,Democrat,"NSA Advisor, former ambassador to UN", 563 166 
271,abc,2,m,,news,7 718 914
272,wired,2,m,,"news, tech",7 116 434
273,nytimesworld,2,m,,news,1 538 066
274,wizkhalifa,1,c,,music,27 804 845
275,senjohnmccain,2,p,Republican,Senator from Arizona, 2 041 502 
276,weatherchannel,2,m,,life,2 141 398
277,stevemartintogo,1,c,,"actor, comedian, music",7 832 018
278,ericgarcetti,0,p,Democrat,Mayor of Los Angeles, 145 719 
279,barackobama,2,p,Democrat,President , 77 884 582 
280,davidaxelrod,0,p,Democrat,Former chief strategist for Barack Obama , 488 077 
281,condoleezzarice,2,p,Republican,"Former secretary of state, democrat before 1982", 186 300 
282,ericcantor,2,p,Republican,Former Representative from Virginia, 260 859 
283,wendydavis,0,p,Democrat,"Former senator from Texas, republican before 2006", 180 256 
284,nflnetwork,2,m,,sports,2 762 418
285,nickjonas,1,c,,music,10 875 012
286,life,0,m,,"news, photo",4 562 949
287,jimmyfallon,1,c,,tv host,42 982 092
288,jeffarazzi,2,p,,Digital strategist, 185 027 
289,chrischristie,0,p,Republican,Governor of New Jersey, 146 191 
290,justinbieber,1,c,,music,88 699 317
291,natgeotravel,2,m,,life,3 017 833
292,preetbharara,2,p,Democrat,US Attorney for Southern District of NY, 271 790 
293,berniesanders,0,p,Democrat,Presidential Candidate, 3 615 183 
294,pitbull,1,c,,music,22 767 655
295,tppatriots,0,p,Tea Party,, 176 983 
296,marketwatch,2,m,,"news, business",3 053 908
297,marvel,1,m,,tv,4 269 365
