,User,Partition,Type
267,madam_president,3,p
268,ladygaga,1,c
269,parenting,1,m
270,ambassadorrice,1,p
271,abc,3,m
272,wired,1,m
273,nytimesworld,1,m
274,wizkhalifa,1,c
275,senjohnmccain,1,p
276,weatherchannel,1,m
277,stevemartintogo,1,c
278,ericgarcetti,1,p
279,barackobama,3,p
280,davidaxelrod,1,p
281,condoleezzarice,1,p
282,ericcantor,1,p
283,wendydavis,3,p
284,nflnetwork,1,m
285,nickjonas,3,c
286,life,3,m
287,jimmyfallon,3,c
288,jeffarazzi,1,p
289,chrischristie,3,p
290,justinbieber,1,c
291,natgeotravel,1,m
292,preetbharara,3,p
293,berniesanders,3,p
294,pitbull,3,c
295,tppatriots,3,p
296,marketwatch,3,m
297,marvel,3,m
