,User,Partition,Type
267,madam_president,1,p
268,ladygaga,2,c
269,parenting,2,m
270,ambassadorrice,2,p
271,abc,1,m
272,wired,0,m
273,nytimesworld,0,m
274,wizkhalifa,2,c
275,senjohnmccain,0,p
276,weatherchannel,2,m
277,stevemartintogo,2,c
278,ericgarcetti,0,p
279,barackobama,1,p
280,davidaxelrod,0,p
281,condoleezzarice,2,p
282,ericcantor,0,p
283,wendydavis,1,p
284,nflnetwork,2,m
285,nickjonas,1,c
286,life,2,m
287,jimmyfallon,2,c
288,jeffarazzi,0,p
289,chrischristie,2,p
290,justinbieber,3,c
291,natgeotravel,0,m
292,preetbharara,1,p
293,berniesanders,1,p
294,pitbull,1,c
295,tppatriots,1,p
296,marketwatch,3,m
297,marvel,1,m
