,User,Partition,Type
267,madam_president,2,p
268,ladygaga,1,c
269,parenting,1,m
270,ambassadorrice,2,p
271,abc,2,m
272,wired,1,m
273,nytimesworld,1,m
274,wizkhalifa,1,c
275,senjohnmccain,2,p
276,weatherchannel,2,m
277,stevemartintogo,1,c
278,ericgarcetti,2,p
279,barackobama,2,p
280,davidaxelrod,2,p
281,condoleezzarice,2,p
282,ericcantor,2,p
283,wendydavis,2,p
284,nflnetwork,1,m
285,nickjonas,1,c
286,life,2,m
287,jimmyfallon,1,c
288,jeffarazzi,1,p
289,chrischristie,2,p
290,justinbieber,1,c
291,natgeotravel,1,m
292,preetbharara,2,p
293,berniesanders,2,p
294,pitbull,1,c
295,tppatriots,2,p
296,marketwatch,2,m
297,marvel,1,m
