,User,Partition,Type,Affiliation,Description,Followers
271,parenting,0,m,,life,1 587 085
272,nytimesworld,1,m,,news,1 538 066
273,shaq,0,c,,athlete,12 702 287
274,wired,1,m,,"news, tech",7 116 434
275,newyorker,1,m,,news,6 801 094
276,wizkhalifa,0,c,,music,27 804 845
277,senjohnmccain,1,p,Republican,Senator from Arizona, 2 041 502 
278,weatherchannel,1,m,,life,2 141 398
279,tppatriots,1,p,Tea Party,, 176 983 
280,ericgarcetti,1,p,Democrat,Mayor of Los Angeles, 145 719 
281,barackobama,1,p,Democrat,President , 77 884 582 
282,davidaxelrod,1,p,Democrat,Former chief strategist for Barack Obama , 488 077 
283,robertdowneyjr,0,c,,actor,7 554 969
284,ericcantor,1,p,Republican,Former Representative from Virginia, 260 859 
285,wendydavis,1,p,Democrat,"Former senator from Texas, republican before 2006", 180 256 
286,nflnetwork,0,m,,sports,2 762 418
287,nickjonas,0,c,,music,10 875 012
288,life,1,m,,"news, photo",4 562 949
289,jimmyfallon,0,c,,tv host,42 982 092
290,jeffarazzi,1,p,,Digital strategist, 185 027 
291,justinbieber,0,c,,music,88 699 317
292,natgeotravel,1,m,,life,3 017 833
293,preetbharara,1,p,Democrat,US Attorney for Southern District of NY, 271 790 
294,berniesanders,1,p,Democrat,Presidential Candidate, 3 615 183 
295,pitbull,0,c,,music,22 767 655
296,stevemartintogo,0,c,,"actor, comedian, music",7 832 018
297,chrischristie,1,p,Republican,Governor of New Jersey, 146 191 
298,marvel,0,m,,tv,4 269 365
