,User,Partition,Type
268,timkaine,2,p
269,ericgarcetti,0,p
270,barackobama,2,p
271,davidaxelrod,2,p
272,lindsaylohan,0,c
273,robertdowneyjr,2,c
274,wendydavis,2,p
275,nflnetwork,1,m
276,nickjonas,2,c
277,life,1,m
278,jimmyfallon,0,c
279,jeffarazzi,3,p
280,chrischristie,3,p
281,justinbieber,1,c
282,scottwalker,0,p
283,preetbharara,2,p
284,berniesanders,1,p
285,pitbull,0,c
286,tppatriots,1,p
287,maroon5,0,c
288,marvel,1,m
