,User,Partition,Type
267,kingjames,2,c
268,espndeportes,3,m
269,madam_president,2,p
270,ladygaga,2,c
271,parenting,2,m
272,nytimesworld,1,m
273,shaq,1,c
274,wired,0,m
275,newyorker,0,m
276,wizkhalifa,2,c
277,senjohnmccain,2,p
278,weatherchannel,2,m
279,tppatriots,1,p
280,ericgarcetti,0,p
281,barackobama,0,p
282,davidaxelrod,0,p
283,robertdowneyjr,2,c
284,ericcantor,0,p
285,wendydavis,3,p
286,nflnetwork,1,m
287,nickjonas,1,c
288,life,2,m
289,jimmyfallon,0,c
290,jeffarazzi,0,p
291,justinbieber,2,c
292,natgeotravel,2,m
293,preetbharara,0,p
294,berniesanders,3,p
295,pitbull,0,c
296,stevemartintogo,1,c
297,chrischristie,3,p
298,marvel,2,m
