,User,Partition,Type
267,kingjames,3,c
268,espndeportes,2,m
269,madam_president,2,p
270,ladygaga,3,c
271,parenting,2,m
272,nytimesworld,2,m
273,shaq,3,c
274,wired,0,m
275,newyorker,0,m
276,wizkhalifa,3,c
277,senjohnmccain,1,p
278,weatherchannel,0,m
279,tppatriots,1,p
280,ericgarcetti,2,p
281,barackobama,0,p
282,davidaxelrod,1,p
283,robertdowneyjr,3,c
284,ericcantor,1,p
285,wendydavis,2,p
286,nflnetwork,3,m
287,nickjonas,3,c
288,life,2,m
289,jimmyfallon,3,c
290,jeffarazzi,1,p
291,justinbieber,3,c
292,natgeotravel,2,m
293,preetbharara,2,p
294,berniesanders,0,p
295,pitbull,3,c
296,stevemartintogo,3,c
297,chrischristie,1,p
298,marvel,3,m
