,User,Partition,Type
245,joejonas,0,c
246,repjohnlewis,2,p
247,teenvogue,0,m
248,menshealthmag,1,m
249,alfranken,2,p
250,voguemagazine,0,m
251,johnkingated,1,p
252,businessinsider,2,m
253,lindasuhler,1,p
254,jtimberlake,0,c
255,mittromney,2,p
256,jimdemint,1,p
257,comedycentral,1,m
258,massgovernor,1,p
259,inc,1,m
260,bigsean,0,c
261,tedcruz,2,p
262,bishopnoeljones,1,p
263,nytimes,2,m
264,krisjenner,1,c
265,jasoninthehouse,2,p
266,sciencechannel,1,m
267,kingjames,0,c
268,espndeportes,1,m
269,madam_president,1,p
270,ladygaga,0,c
271,parenting,1,m
272,nytimesworld,1,m
273,shaq,1,c
274,wired,1,m
275,newyorker,1,m
276,wizkhalifa,1,c
277,senjohnmccain,2,p
278,weatherchannel,1,m
279,tppatriots,1,p
280,ericgarcetti,0,p
281,barackobama,2,p
282,davidaxelrod,2,p
283,robertdowneyjr,0,c
284,ericcantor,1,p
285,wendydavis,2,p
286,nflnetwork,1,m
287,nickjonas,0,c
288,life,1,m
289,jimmyfallon,0,c
290,jeffarazzi,1,p
291,justinbieber,0,c
292,natgeotravel,1,m
293,preetbharara,1,p
294,berniesanders,2,p
295,pitbull,0,c
296,stevemartintogo,0,c
297,chrischristie,2,p
298,marvel,0,m
